"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"IS31FL3733-QFLS4-TR","ISSI, Integrated Silicon Solution Inc","706-1509-1-ND","","","Cut Tape (CT)","Active","1","5.11000","$5.11","899","6 Weeks","IC LED DRVR LINEAR 46MA 48QFN","RoHS Compliant","Lead free","REACH Unaffected"
"CC0805KKX7R8BB474","Yageo","311-1364-1-ND","","","Cut Tape (CT)","Active","4","0.22000","$0.88","60729","20 Weeks","CAP CER 0.47UF 25V X7R 0805","RoHS Compliant","Lead free","REACH Unaffected"
"CC0805ZRY5V8BB104","Yageo","311-1910-1-ND","","","Cut Tape (CT)","Active","3","0.14000","$0.42","129","20 Weeks","CAP CER 0.1UF 25V Y5V 0805","RoHS Compliant","Lead free","REACH Unaffected"
"RC0805FR-07100KL","Yageo","311-100KCRCT-ND","","","Cut Tape (CT)","Active","3","0.15000","$0.45","1574189","23 Weeks","RES SMD 100K OHM 1% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"RC0805FR-071KL","Yageo","311-1.00KCRCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","62360","23 Weeks","RES SMD 1K OHM 1% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"RC0805FR-0720KL","Yageo","311-20.0KCRCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","1314554","23 Weeks","RES SMD 20K OHM 1% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"RC0805JR-070RL","Yageo","311-0.0ARCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","768508","23 Weeks","RES SMD 0 OHM JUMPER 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"PPPC021LFBN-RC","Sullins Connector Solutions","S7035-ND","","","Tray","Active","1","0.46000","$0.46","18168","4 Weeks","CONN HEADER FEMALE 2POS .1"" GOLD","RoHS Compliant","Lead free","REACH Unaffected"
"LPPB101NFFN-RC","Sullins Connector Solutions","S9008E-10-ND","","","Tube","Active","1","1.82000","$1.82","16576","4 Weeks","CONN HEADER .050"" 10POS PCB GOLD","RoHS Compliant","Lead free","REACH Unaffected"
